Stage 1  Points,Stage 1  Rider,Stage 1  Team,Stage 2 Points,Stage 2 Rider,Stage 2 Team,Stage 3 Points,Stage 3 Rider,Stage 3 Team,Stage 4 Points,Stage 4 Rider,Stage 4 Team,Stage 5 Points,Stage 5 Rider,Stage 5 Team,Stage 6 Points,Stage 6 Rider,Stage 6 Team,Stage 7 Points,Stage 7 Rider,Stage 7 Team,Stage 8 Points,Stage 8 Rider,Stage 8 Team,Stage 9 Points,Stage 9 Rider,Stage 9 Team,Stage 10 Points,Stage 10 Rider,Stage 10 Team,Stage 11 Points,Stage 11 Rider,Stage 11 Team,Stage 12 Points,Stage 12 Rider,Stage 12 Team,Stage 13 Points,Stage 13 Rider,Stage 13 Team,Stage 14 Points,Stage 14 Rider,Stage 14 Team,Stage 15 Points,Stage 15 Rider,Stage 15 Team,Stage 16 Points,Stage 16 Rider,Stage 16 Team,Stage 17 Points,Stage 17 Rider,Stage 17 Team,Stage 18 Points,Stage 18 Rider,Stage 18 Team,Stage 19 Points,Stage 19 Rider,Stage 19 Team,Stage 20 Points,Stage 20 Rider,Stage 20 Team,Stage 21 Points,Stage 21 Rider,Stage 21 Team
272,Jasper Philipsen,Alpecin - Deceuninck,258,Mathieu Van Der Poel,Alpecin - Deceuninck,226,Tim Merlier,Soudal Quick-Step,264,Tadej Pogačar,UAE Team Emirates - XRG,246,Remco Evenepoel,Soudal Quick-Step,264,Ben Healy,EF Education - EasyPost,274,Tadej Pogačar,UAE Team Emirates - XRG,252,Jonathan Milan,Lidl - Trek,234,Tim Merlier,Soudal Quick-Step,248,Simon Yates,Team Visma | Lease a Bike,260,Jonas Abrahamsen,Uno-X Mobility,304,Tadej Pogačar,UAE Team Emirates - XRG,270,Tadej Pogačar,UAE Team Emirates - XRG,292,Thymen Arensman,INEOS Grenadiers,252,Tim Wellens,UAE Team Emirates - XRG,,,,,,,,,,,,,,,,,,
226,Biniam Girmay,Intermarché - Wanty,219,Tadej Pogačar,UAE Team Emirates - XRG,212,Jonathan Milan,Lidl - Trek,216,Mathieu Van Der Poel,Alpecin - Deceuninck,234,Tadej Pogačar,UAE Team Emirates - XRG,206,Quinn Simmons,Lidl - Trek,212,Jonas Vingegaard,Team Visma | Lease a Bike,188,Wout Van Aert,Team Visma | Lease a Bike,204,Jonathan Milan,Lidl - Trek,218,Ben Healy,EF Education - EasyPost,212,Mauro Schmid,Team Jayco AlUla,243,Jonas Vingegaard,Team Visma | Lease a Bike,213,Jonas Vingegaard,Team Visma | Lease a Bike,255,Tadej Pogačar,UAE Team Emirates - XRG,216,Victor Campenaerts,Team Visma | Lease a Bike,,,,,,,,,,,,,,,,,,
183,Søren Wærenskjold,Uno-X Mobility,190,Jonas Vingegaard,Team Visma | Lease a Bike,160,Phil Bauhaus,Bahrain - Victorious,196,Jonas Vingegaard,Team Visma | Lease a Bike,160,Edoardo Affini,Team Visma | Lease a Bike,182,Michael Storer,Tudor Pro Cycling Team,174,Oscar Onley,Team Picnic PostNL,160,Kaden Groves,Alpecin - Deceuninck,162,Arnaud De Lie,Lotto,204,Thymen Arensman,INEOS Grenadiers,169,Mathieu Van Der Poel,Alpecin - Deceuninck,198,Florian Lipowitz,Red Bull - BORA - hansgrohe,174,Primož Roglič,Red Bull - BORA - hansgrohe,219,Jonas Vingegaard,Team Visma | Lease a Bike,160,Julian Alaphilippe,Tudor Pro Cycling Team,,,,,,,,,,,,,,,,,,
170,Anthony Turgis,Team TotalEnergies,148,Romain Grégoire,Groupama - FDJ,144,Søren Wærenskjold,Uno-X Mobility,154,Oscar Onley,Team Picnic PostNL,143,Kévin Vauquelin,Arkéa - B&B Hotels,164,Eddie Dunbar,Team Jayco AlUla,147,Felix Gall,Decathlon AG2R La Mondiale Team,140,Pascal Ackermann,Israel - Premier Tech,140,Pavel Bittner,Team Picnic PostNL,163,Ben O'Connor,Team Jayco AlUla,144,Arnaud De Lie,Lotto,168,Tobias Halland Johannessen,Uno-X Mobility,159,Florian Lipowitz,Red Bull - BORA - hansgrohe,171,Felix Gall,Decathlon AG2R La Mondiale Team,156,Wout Van Aert,Team Visma | Lease a Bike,,,,,,,,,,,,,,,,,,
144,Matteo Trentin,Tudor Pro Cycling Team,120,Julian Alaphilippe,Tudor Pro Cycling Team,122,Biniam Girmay,Intermarché - Wanty,137,João Almeida,UAE Team Emirates - XRG,140,Bruno Armirail,Decathlon AG2R La Mondiale Team,154,Mathieu Van Der Poel,Alpecin - Deceuninck,147,Matteo Jorgenson,Team Visma | Lease a Bike,120,Arnaud De Lie,Lotto,124,Biniam Girmay,Intermarché - Wanty,140,Michael Storer,Tudor Pro Cycling Team,130,Wout Van Aert,Team Visma | Lease a Bike,145,Oscar Onley,Team Picnic PostNL,121,Matteo Jorgenson,Team Visma | Lease a Bike,153,Florian Lipowitz,Red Bull - BORA - hansgrohe,120,Axel Laurance,INEOS Grenadiers,,,,,,,,,,,,,,,,,,
129,Clément Russo,Groupama - FDJ,115,Oscar Onley,Team Picnic PostNL,120,Pavel Bittner,Team Picnic PostNL,124,Romain Grégoire,Groupama - FDJ,122,Florian Lipowitz,Red Bull - BORA - hansgrohe,148,Simon Yates,Team Visma | Lease a Bike,136,Remco Evenepoel,Soudal Quick-Step,110,Tobias Lund Andresen,Team Picnic PostNL,122,Paul Penhoët,Groupama - FDJ,135,Anders Halland Johannessen,Uno-X Mobility,123,Fred Wright,Bahrain - Victorious,134,Kévin Vauquelin,Arkéa - B&B Hotels,120,Luke Plapp,Team Jayco AlUla,134,Oscar Onley,Team Picnic PostNL,114,Aleksandr Vlasov,Red Bull - BORA - hansgrohe,,,,,,,,,,,,,,,,,,
121,Paul Penhoët,Groupama - FDJ,104,Aurélien Paret-Peintre,Decathlon AG2R La Mondiale Team,117,Kaden Groves,Alpecin - Deceuninck,110,Matteo Jorgenson,Team Visma | Lease a Bike,95,Iván Romeo,Movistar Team,130,Will Barta,Movistar Team,117,Kévin Vauquelin,Arkéa - B&B Hotels,100,Bryan Coquard,Cofidis,95,Phil Bauhaus,Bahrain - Victorious,134,Joseph Blackmore,Israel - Premier Tech,111,Axel Laurance,INEOS Grenadiers,121,Remco Evenepoel,Soudal Quick-Step,111,Oscar Onley,Team Picnic PostNL,111,Ben Healy,EF Education - EasyPost,95,Jasper Stuyven,Lidl - Trek,,,,,,,,,,,,,,,,,,
93,Matteo Jorgenson,Team Visma | Lease a Bike,100,Kévin Vauquelin,Arkéa - B&B Hotels,80,Pascal Ackermann,Israel - Premier Tech,107,Remco Evenepoel,Soudal Quick-Step,94,João Almeida,UAE Team Emirates - XRG,115,Harold Tejada,XDS Astana Team,102,Jhonatan Narváez,UAE Team Emirates - XRG,80,Alberto Dainese,Tudor Pro Cycling Team,80,Jordi Meeus,Red Bull - BORA - hansgrohe,112,Lenny Martinez,Bahrain - Victorious,106,Mathieu Burgaudeau,Team TotalEnergies,94,Felix Gall,Decathlon AG2R La Mondiale Team,80,Adam Yates,UAE Team Emirates - XRG,99,Primož Roglič,Red Bull - BORA - hansgrohe,90,Jordan Jegat,Team TotalEnergies,,,,,,,,,,,,,,,,,,
90,Marius Mayrhofer,Tudor Pro Cycling Team,70,Simone Velasco,XDS Astana Team,70,Amaury Capiot,Arkéa - B&B Hotels,81,Mattias Skjelmose,Lidl - Trek,70,Luke Plapp,Team Jayco AlUla,114,Tadej Pogačar,UAE Team Emirates - XRG,70,Axel Laurance,INEOS Grenadiers,70,Vincenzo Albanese,EF Education - EasyPost,70,Stian Fredheim,Uno-X Mobility,109,Tadej Pogačar,UAE Team Emirates - XRG,96,Davide Ballerini,XDS Astana Team,86,Primož Roglič,Red Bull - BORA - hansgrohe,78,Lenny Martinez,Bahrain - Victorious,87,Tobias Halland Johannessen,Uno-X Mobility,70,Michael Valgren,EF Education - EasyPost,,,,,,,,,,,,,,,,,,
71,Samuel Watson,INEOS Grenadiers,60,Jenno Berckmoes,Lotto,60,Alberto Dainese,Tudor Pro Cycling Team,77,Kévin Vauquelin,Arkéa - B&B Hotels,66,Matteo Jorgenson,Team Visma | Lease a Bike,85,Jonas Vingegaard,Team Visma | Lease a Bike,69,Tobias Halland Johannessen,Uno-X Mobility,60,Stian Fredheim,Uno-X Mobility,60,Kaden Groves,Alpecin - Deceuninck,94,Jonas Vingegaard,Team Visma | Lease a Bike,75,Quinn Simmons,Lidl - Trek,64,Cristián Rodríguez,Arkéa - B&B Hotels,72,Felix Gall,Decathlon AG2R La Mondiale Team,76,Kévin Vauquelin,Arkéa - B&B Hotels,60,Valentin Madouas,Groupama - FDJ,,,,,,,,,,,,,,,,,,
60,Mike Teunissen,XDS Astana Team,55,Enric Mas,Movistar Team,50,Tobias Lund Andresen,Team Picnic PostNL,62,Wout Van Aert,Team Visma | Lease a Bike,60,Pablo Castrillo,Movistar Team,73,Matteo Jorgenson,Team Visma | Lease a Bike,55,Jordan Jegat,Team TotalEnergies,50,Danny Van Poppel,Red Bull - BORA - hansgrohe,57,Mathieu Van Der Poel,Alpecin - Deceuninck,72,Matteo Jorgenson,Team Visma | Lease a Bike,52,Kaden Groves,Alpecin - Deceuninck,52,Einer Rubio,Movistar Team,65,Kévin Vauquelin,Arkéa - B&B Hotels,72,Lenny Martinez,Bahrain - Victorious,58,Tadej Pogačar,UAE Team Emirates - XRG,,,,,,,,,,,,,,,,,,
49,Iván García Cortina,Movistar Team,50,Alexandre Delettre,Team TotalEnergies,40,Bastien Tronchon,Decathlon AG2R La Mondiale Team,49,Aurélien Paret-Peintre,Decathlon AG2R La Mondiale Team,59,Jonas Vingegaard,Team Visma | Lease a Bike,62,Remco Evenepoel,Soudal Quick-Step,51,Mattias Skjelmose,Lidl - Trek,50,Tadej Pogačar,UAE Team Emirates - XRG,50,Alexis Renard,Cofidis,63,Florian Lipowitz,Red Bull - BORA - hansgrohe,42,Jordan Jegat,Team TotalEnergies,52,Matteo Jorgenson,Team Visma | Lease a Bike,62,Remco Evenepoel,Soudal Quick-Step,71,Carlos Rodríguez,INEOS Grenadiers,50,Harold Tejada,XDS Astana Team,,,,,,,,,,,,,,,,,,
43,Niklas Märkl,Team Picnic PostNL,47,Jasper Philipsen,Alpecin - Deceuninck,36,Mathieu Van Der Poel,Alpecin - Deceuninck,44,Jhonatan Narváez,UAE Team Emirates - XRG,53,Primož Roglič,Red Bull - BORA - hansgrohe,48,Kévin Vauquelin,Arkéa - B&B Hotels,43,Florian Lipowitz,Red Bull - BORA - hansgrohe,40,Phil Bauhaus,Bahrain - Victorious,50,Tadej Pogačar,UAE Team Emirates - XRG,57,Remco Evenepoel,Soudal Quick-Step,40,Alberto Dainese,Tudor Pro Cycling Team,42,Raúl García Pierna,Arkéa - B&B Hotels,44,Carlos Rodríguez,INEOS Grenadiers,47,Adam Yates,UAE Team Emirates - XRG,47,Pascal Eenkhoorn,Soudal Quick-Step,,,,,,,,,,,,,,,,,,
37,Harry Sweeny,EF Education - EasyPost,41,João Almeida,UAE Team Emirates - XRG,35,Dylan Groenewegen,Team Jayco AlUla,40,Jonas Abrahamsen,Uno-X Mobility,31,Mathieu Van Der Poel,Alpecin - Deceuninck,45,Oscar Onley,Team Picnic PostNL,40,Iván García Cortina,Movistar Team,37,Lewis Askey,Groupama - FDJ,40,Pascal Ackermann,Israel - Premier Tech,44,Oscar Onley,Team Picnic PostNL,39,Tadej Pogačar,UAE Team Emirates - XRG,42,Guillaume Martin,Groupama - FDJ,43,Tobias Halland Johannessen,Uno-X Mobility,45,Jordan Jegat,Team TotalEnergies,43,Jonas Vingegaard,Team Visma | Lease a Bike,,,,,,,,,,,,,,,,,,
32,Benjamin Thomas,Cofidis,40,Yevgeniy Fedorov,XDS Astana Team,34,Tadej Pogačar,UAE Team Emirates - XRG,36,Lenny Martinez,Bahrain - Victorious,30,Tobias Foss,INEOS Grenadiers,37,Florian Lipowitz,Red Bull - BORA - hansgrohe,37,Romain Grégoire,Groupama - FDJ,34,Jonas Vingegaard,Team Visma | Lease a Bike,37,Arnaud Démare,Arkéa - B&B Hotels,42,Harry Sweeny,EF Education - EasyPost,38,Ben Healy,EF Education - EasyPost,37,Jhonatan Narváez,UAE Team Emirates - XRG,26,Enric Mas,Movistar Team,40,Harold Tejada,XDS Astana Team,40,Neilson Powless,EF Education - EasyPost,,,,,,,,,,,,,,,,,,
31,Krists Neilands,Israel - Premier Tech,39,Santiago Buitrago,Bahrain - Victorious,30,Jonas Vingegaard,Team Visma | Lease a Bike,36,Kasper Asgreen,EF Education - EasyPost,25,Nelson Oliveira,Movistar Team,36,Jonathan Milan,Lidl - Trek,36,Marco Haller,Tudor Pro Cycling Team,30,Bastien Tronchon,Decathlon AG2R La Mondiale Team,36,Jonas Rickaert,Alpecin - Deceuninck,36,Victor Campenaerts,Team Visma | Lease a Bike,34,Romain Grégoire,Groupama - FDJ,30,Sergio Higuita,XDS Astana Team,25,Harry Sweeny,EF Education - EasyPost,39,Jhonatan Narváez,UAE Team Emirates - XRG,40,Thibau Nys,Lidl - Trek,,,,,,,,,,,,,,,,,,
25,Kévin Vauquelin,Arkéa - B&B Hotels,37,Andreas Leknessund,Uno-X Mobility,30,Jake Stewart,Israel - Premier Tech,35,Alex Baudin,EF Education - EasyPost,20,Nils Politt,UAE Team Emirates - XRG,23,Santiago Buitrago,Bahrain - Victorious,32,Alex Baudin,EF Education - EasyPost,30,Anthony Turgis,Team TotalEnergies,36,Anthony Turgis,Team TotalEnergies,36,Tobias Halland Johannessen,Uno-X Mobility,26,Jonas Vingegaard,Team Visma | Lease a Bike,24,Ben O'Connor,Team Jayco AlUla,16,Julian Alaphilippe,Tudor Pro Cycling Team,32,Jonathan Milan,Lidl - Trek,30,Iván Romeo,Movistar Team,,,,,,,,,,,,,,,,,,
22,Jonathan Milan,Lidl - Trek,36,Matteo Jorgenson,Team Visma | Lease a Bike,26,Anthony Turgis,Team TotalEnergies,35,Tobias Halland Johannessen,Uno-X Mobility,19,Mattias Skjelmose,Lidl - Trek,23,Felix Gall,Decathlon AG2R La Mondiale Team,32,Primož Roglič,Red Bull - BORA - hansgrohe,27,Matteo Jorgenson,Team Visma | Lease a Bike,34,Remco Evenepoel,Soudal Quick-Step,32,Primož Roglič,Red Bull - BORA - hansgrohe,25,Simone Velasco,XDS Astana Team,23,Bruno Armirail,Decathlon AG2R La Mondiale Team,15,Cristián Rodríguez,Arkéa - B&B Hotels,30,Simon Yates,Team Visma | Lease a Bike,27,Jhonatan Narváez,UAE Team Emirates - XRG,,,,,,,,,,,,,,,,,,
20,Damien Touzé,Cofidis,32,Brent Van Moer,Lotto,25,Damien Touzé,Cofidis,32,Tiesj Benoot,Team Visma | Lease a Bike,16,Raúl García Pierna,Arkéa - B&B Hotels,22,João Almeida,UAE Team Emirates - XRG,32,Tim Wellens,UAE Team Emirates - XRG,26,Remco Evenepoel,Soudal Quick-Step,30,Jonas Vingegaard,Team Visma | Lease a Bike,32,Michael Woods,Israel - Premier Tech,24,Matteo Jorgenson,Team Visma | Lease a Bike,22,Mathieu Van Der Poel,Alpecin - Deceuninck,12,Ben Healy,EF Education - EasyPost,29,Ben O'Connor,Team Jayco AlUla,26,Mathieu Van Der Poel,Alpecin - Deceuninck,,,,,,,,,,,,,,,,,,
20,Mattéo Vercher,Team TotalEnergies,30,Marc Hirschi,Tudor Pro Cycling Team,24,Paul Penhoët,Groupama - FDJ,31,Enric Mas,Movistar Team,10,Oscar Onley,Team Picnic PostNL,20,Enric Mas,Movistar Team,31,Carlos Rodríguez,INEOS Grenadiers,25,Samuel Watson,INEOS Grenadiers,25,Dylan Groenewegen,Team Jayco AlUla,31,Alex Baudin,EF Education - EasyPost,22,Quentin Pacher,Groupama - FDJ,21,Michael Woods,Israel - Premier Tech,12,Jonathan Milan,Lidl - Trek,27,Einer Rubio,Movistar Team,26,Matej Mohorič,Bahrain - Victorious,,,,,,,,,,,,,,,,,,
18,Silvan Dillier,Alpecin - Deceuninck,29,Guillaume Martin,Groupama - FDJ,22,Matteo Jorgenson,Team Visma | Lease a Bike,28,Thomas Gachignard,Team TotalEnergies,9,Aurélien Paret-Peintre,Decathlon AG2R La Mondiale Team,20,Tim Wellens,UAE Team Emirates - XRG,30,Ewen Costiou,Arkéa - B&B Hotels,24,Tim Wellens,UAE Team Emirates - XRG,24,Matteo Jorgenson,Team Visma | Lease a Bike,28,Felix Gall,Decathlon AG2R La Mondiale Team,22,Remco Evenepoel,Soudal Quick-Step,20,Laurenz Rex,Intermarché - Wanty,8,Bruno Armirail,Decathlon AG2R La Mondiale Team,27,Michael Woods,Israel - Premier Tech,25,Santiago Buitrago,Bahrain - Victorious,,,,,,,,,,,,,,,,,,
